headersNotebook Vivobook Asus| Processador Core i3| 4GB de Memória| 256GB SSD de Armazenamento| Tela 15|6| X543UA-GQ3430T - CX 1 UN, R$ 2.943|91 à vista ,10x de R$ 319|99
Notebook Vivobook Asus| Processador Core i3| 4GB de Memória| 256GB SSD de Armazenamento| Sistema Operacional Endless OS| Tela 15|6| X543UA-GQ3430 - CX 1 UN, R$ 2.740|68 à vista ,10x de R$ 297|90
Notebook HP 256-G8| Processador Core i3| 4GB de Memória| 128GB SSD de Armazenamento| Tela de 15.6|  4A8P7LA - CX 1 UN, R$ 3.086|55 à vista ,10x de R$ 324|90
Notebook HP 250-G8| Processador Core i5| 16GB de Memória| 256GB SSD de Armazenamento| Tela de 15| 3G5A4LA - CX 1 UN, R$ 4.673|05 à vista ,10x de R$ 491|90
Suporte p/notebook UpTable preto UP-BL Octoo CX 1 UN,R$ 66|30,Não Parcelável
Notebook HP 250-G8| Processador Core i7|  16GB de Memória| 256GB SSD de Armazenamento| Tela de 15| 3G5A6LA - CX 1 UN, R$ 5.480|55 à vista ,10x de R$ 576|90
Notebook Vivobook Asus| Processador Core i5| 4GB de Memória| 256GB SSD de Armazenamento| Tela 15.6| X543UA-DM3458T - CX 1 UN, R$ 3.679|91 à vista ,10x de R$ 399|99
Notebook Samsung| Processador Core i3| 4GB de Memória| 1TB de Armazenamento| Tela de 15.6| NP550XDA-KT1BR - CX 1 UN, R$ 3.679|91 à vista ,10x de R$ 399|99
Mochila p/notebook até 15 em poliester B65-27 Baohua PT 1 UN,R$ 238|90,3x de R$ 79|63
Suporte p/notebook plástico regulável preto Reliza CX 1 UN,R$ 34|80,Não Parcelável
Notebook Asus| Processador Celeron Dual Core| 4GB de Memória| 500GB de Armazenamento| Tela de 15.6| X543MA-GQ1300T - CX 1 UN, R$ 2.409|48 à vista ,10x de R$ 261|90
Mochila p/notebook até 15 em poliester BH54 Baohua PT 1 UN,R$ 269|90,3x de R$ 89|97
Mochila para notebook 15 Business Ikonn preta e amarelo Samsonite - PT 1 UN,R$ 600|00,5x de R$ 120|00
Capa luva p/notebook 15 em neoprene preta Up PT 1 UN,R$ 108|90,10x de R$ 10|89
Base p/notebook c/ 2 coolers NBC-50BK C3Tech CX 1 UN,R$ 94|50,Não Parcelável
Suporte para notebook Lite Stand note preto 08964 Octoo CX 1 UN,R$ 37|60,Não Parcelável
Notebook HP 250-G8| Processador Core i3| 4GB de Memória| 128GB SSD de Armazenamento| Tela de 15| 4N0Z7LA - CX 1 UN, R$ 3.542|55 à vista ,10x de R$ 372|90
Mochila p/notebook até 15 em poliéster verde pastel Baohua PT 1 UN,R$ 199|90,3x de R$ 66|63
Mochila p/notebook até 16 em poliester SN77282-10 Aoking PT 1 UN,R$ 341|90,3x de R$ 113|97
Mochila p/notebook até 16 em poliester FN77170 Aoking PT 1 UN,R$ 264|90,3x de R$ 88|30
Suporte p/notebook UpTable cromado UP-02 Octoo CX 1 UN,R$ 79|50,Não Parcelável
Mochila p/notebook até 15 em poliester BH76 Baohua PT 1 UN,R$ 203|90,3x de R$ 67|97
Mochila p/notebook até 15 c/rodas BH8185-19 Baohua PT 1 UN,R$ 479|90,10x de R$ 47|99
Notebook HP 630-G8| Processador Core i5| 16GB de Memória| 256GB SSD de Armazenamento| Tela de 13.3| Windows 10 Pro| 47D77LA - CX 1 UN, R$ 5.847|25 à vista ,10x de R$ 615|50
Base p/notebook c/4 coolers + 2 usb LED azul NBC-100BK C3Tech CX 1 UN,R$ 145|10,3x de R$ 48|37
Base p/notebook c/ 1 cooler + 2 usb AC166 Multilaser PT 1 UN,R$ 101|90,Não Parcelável
Mochila p/notebook até 16 em poliester SN67761 Aoking PT 1 UN,R$ 369|90,3x de R$ 123|30
Capa luva para notebook 15.6 ts115 preto 3201748 Case Logic - PT 1 UN,R$ 164|90,3x de R$ 54|97
Mochila p/notebook até 15 em poliester BH00 Baohua PT 1 UN,R$ 269|90,3x de R$ 89|97
Base p/notebook c/6 coolers + 2 usb LED azul AC282 Multilaser CX 1 UN,R$ 188|50,3x de R$ 62|83
Capa luva p/notebook 13 em neoprene preta Up PT 1 UN,R$ 94|90,10x de R$ 9|49
Base p/notebook Gamer Warrior c/2 coolers AC267 Warrior CX 1 UN,R$ 115|90,Não Parcelável
Mochila p/notebook até 15 em poliester BH26 Baohua PT 1 UN,R$ 279|90,3x de R$ 93|30
Suporte para notebook lite stand note silver 08962 Octoo CX 1 UN,R$ 37|60,Não Parcelável
Mochila p/notebook até 14 em poliester azul A03-1 Baohua PT 1 PT,R$ 215|90,10x de R$ 21|59
Fonte alimentação p/notebook compacto 65w CB082 Multilaser BT 1 UN,R$ 151|90,3x de R$ 50|63
Maleta para notebook 15.6 slim| Attaché obsidian| 3203695| Case Logic - CX 1 UN,R$ 269|00,10x de R$ 26|90
Capa luva p/notebook 15 em neoprene cinza Up PT 1 UN,R$ 108|90,10x de R$ 10|89
Maleta p/notebook até 15 lâminado sintético BH78 Baohua PT 1 UN,R$ 239|90,3x de R$ 79|97
Capa luva para notebook 13 ts113 Case Logic CX 1 UN,R$ 149|00,10x de R$ 14|90
Capa luva p/notebook 14 em neoprene preta Up PT 1 UN,R$ 98|90,10x de R$ 9|89
Mochila p/notebook até 14 em poliester vermelho A03-2 Baohua PT 1 PT,R$ 214|90,3x de R$ 71|63
Maleta p/notebook até 15 lâminado sintético BH38 Baohua PT 1 UN,R$ 247|90,3x de R$ 82|63
Mochila para notebook até 14 Laser Dark Oil 132595-886 Samsonite - PT 1 UN,R$ 279|00,3x de R$ 93|00
Capa luva para notebook 15.6 laps116 Case Logic CX 1 UN,R$ 159|00,10x de R$ 15|90
Maleta para notebook 15.6 Preta| 3203988| Case Logic - CX 1 UN,R$ 249|00,10x de R$ 24|90
Fonte alimentação universal p/ notebook bivolt 90w UN890 BestBattery CX 1 UN,R$ 141|90,3x de R$ 47|30
Mochila para notebook até 17 vnb217 preta 3200980| Case Logic - PT 1 UN,R$ 275|00,3x de R$ 91|67
Suporte p/notebook Mobile Comfortable preto Grifit CX 1 UN,R$ 61|70,Não Parcelável
Mochila p/notebook até 15 em poliéster BH99 Baohua PT 1 UN,R$ 274|90,3x de R$ 91|63
